,L-Precision,L-Recall,L-Measure,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRJKHWM149E3AC8A0C,0.8162623980802526,0.800941342707458,0.8085292961313131,0.8162623980802526,0.800941342707458,0.8085292961313131,Reference,Estimate
TRJKXRV149E3409224,0.8828207319157171,0.8111395187130452,0.8454635028539959,0.8692714175148539,0.885674040663608,0.8773960754117885,Reference,Estimate
TRJLXYR127F98F0A8E,0.6961041347849222,0.6786654441812915,0.6872741862465274,0.8068854672159722,0.7830349666749787,0.7947813254852708,Reference,Estimate
TRJMAJM149E3BAFE12,0.30705685642439756,0.45516609838916,0.36672175887570785,0.47157240113427623,0.5124628953227036,0.49116806868546237,Reference,Estimate
TRJMBYA149E3B410F2,0.745477995502068,0.6751279842142822,0.7085610838832405,0.761603546508647,0.7502061169658228,0.7558618695167509,Reference,Estimate
TRJMEVJ149E2E77FF2,0.739189736348088,0.7368616791740376,0.738023871832399,0.7521251852858294,0.7614638295193321,0.7567656983020695,Reference,Estimate
TRJMVAT149E3794AF4,0.7481868988395917,0.7238057594974185,0.735794412415641,0.8930881525744647,0.8763039538733278,0.8846164469780525,Reference,Estimate
TRJNGIY149E3AD459C,0.8607316724546188,0.6626106135604372,0.7487876452087397,0.909826308008318,0.9383702088049061,0.9238778396726535,Reference,Estimate
TRJOADO149E3259BD0,0.3120345250862048,0.41987617962741985,0.3580105153847003,0.47155932074123985,0.42083404690588544,0.4447550250781286,Reference,Estimate
TRJONLD149E3EEB926,0.5823587040535314,0.6657999299013091,0.6212902331295926,0.838801775767384,0.8070708657185399,0.8226304493689719,Reference,Estimate
TRJPQPW149E363D151,0.6544874133951145,0.715052744415385,0.6834308851252516,0.803997653833165,0.7813344754552778,0.7925040734612071,Reference,Estimate
TRJQAOT149E3E32ED1,0.4952418826084294,0.42257043252651455,0.45602913163857506,0.5859191601887673,0.6064199443867839,0.5959933095766539,Reference,Estimate
TRJUASP149E37D8D25,0.6135086015605008,0.6643197267337102,0.6379039461138217,0.6980113455430044,0.6082935356005773,0.6500715038253022,Reference,Estimate
TRJUBRC149E336F126,0.03936378515913723,0.24612648570722023,0.06787250630959543,0.05730918050477433,0.7024400490076107,0.10597250250111231,Reference,Estimate
TRJULXJ149E35AC5DA,0.6572315843852323,0.602809165100634,0.6288450954029606,0.6659150578820824,0.62951812920904,0.6472052833405922,Reference,Estimate
TRJXFNV149E3EDE11F,0.5131749550844278,0.42921820401600763,0.46745677308945505,0.627393057724057,0.47980877813940337,0.5437648072629219,Reference,Estimate
TRJYIND149E373D07C,0.7794048483498913,0.8009676887964831,0.7900391652550782,0.8123376770838654,0.8192919038145845,0.815799970520122,Reference,Estimate
TRJYKUB149E38EF744,0.8734501968831851,0.8927446246797259,0.8829920218007352,0.88456981320649,0.8883977964185304,0.8864796723468656,Reference,Estimate
TRJYRLE149E34E8993,0.6455189384376055,0.5613153161712318,0.6004795863887127,0.7624887865273143,0.8773302640943418,0.8158881776612876,Reference,Estimate
